0 2.365282e+00 1.134898e+08 2.269880
1 2.362688e+00 1.136144e+08 2.272372
2 2.365004e+00 1.135032e+08 2.270147
3 2.364484e+00 1.135281e+08 2.270646
4 2.362447e+00 1.136260e+08 2.272604
5 2.366513e+00 1.134308e+08 2.268699
6 2.364246e+00 1.135396e+08 2.270874
7 2.364052e+00 1.135489e+08 2.271061
8 2.365229e+00 1.134924e+08 2.269930
9 2.364614e+00 1.135219e+08 2.270521
10 2.364530e+00 1.135259e+08 2.270602
11 2.364122e+00 1.135455e+08 2.270994
12 2.363155e+00 1.135920e+08 2.271923
13 2.364324e+00 1.135358e+08 2.270800
14 2.363872e+00 1.135575e+08 2.271234
15 2.365993e+00 1.134557e+08 2.269198
16 2.363694e+00 1.135661e+08 2.271405
17 2.363208e+00 1.135894e+08 2.271872
18 2.364908e+00 1.135078e+08 2.270239
19 2.364234e+00 1.135401e+08 2.270886
