1 icx 1.9999999989472883e-09 2.3999999999801958e-05 1.9092534899966785e-07 1.4043317210497998e-07
1 icc 9.999999994736442e-10 2.4999999999941735e-05 1.9109971599974606e-07 1.4067057075467394e-07
1 gcc 2.000000000248331e-09 2.000000000279556e-06 4.2233752000046157e-08 3.615072875061487e-08
2 icx 4.000000000062981e-09 2.000000000279556e-06 2.2281673000047932e-08 1.9989499715924057e-08
2 icc 4.000000000062981e-09 2.000000000279556e-06 2.0719460000058726e-08 1.8676457868118762e-08
2 gcc 5.999999999877631e-09 3.000000000419334e-06 4.534220233331487e-08 3.824914626144075e-08
3 icx 6.000000000311312e-09 2.3000000000550358e-05 1.9234573733306928e-07 1.420974065317371e-07
3 icc 4.0000000013640236e-09 2.200000000041058e-05 1.8919892399983498e-07 1.3975387262689963e-07
3 gcc 6.999999999784956e-09 2.3000000000550358e-05 1.9126041733311538e-07 1.412658635042803e-07
4 icx 3.999999999976245e-08 0.003930999999999685 3.572634379700045e-05 2.3734787525706475e-05
4 icc 3.999999999976245e-08 0.003930999999999685 3.5724855970666795e-05 2.3733753543428083e-05
4 gcc 3.999999999976245e-08 0.003930999999999685 3.5725347358333816e-05 2.3733948474169004e-05
5 icx 2.300000000003688e-08 0.003929999999999545 3.572748486233353e-05 2.3734426640709073e-05
5 icc 2.300000000003688e-08 0.003929999999999545 3.572662818966695e-05 2.373386020497637e-05
5 gcc 2.300000000003688e-08 0.003929999999999545 3.5726097894000235e-05 2.3733433719593207e-05
6 icx 1.99999999981465e-09 2.000000000279556e-06 2.0268140000019447e-08 1.8415023500619597e-08
6 icc 9.99999999907325e-10 2.000000000279556e-06 2.1145079999866388e-08 1.900072287272765e-08
6 icx 1.99999999981465e-09 2.000000000279556e-06 2.0268140000019447e-08 1.8415023500619597e-08
